returnerid,returnername,gamescore,topn,ones,returnerProbability,returnerFrequency
0,Sam Querrey,0-0,100,1,.69151253,1838
0,Sam Querrey,0-15,100,1,.6137566,567
0,Sam Querrey,0-30,100,1,.71559632,218
0,Sam Querrey,0-40,100,1,.73015875,63
0,Sam Querrey,15-0,100,1,.67559057,1270
0,Sam Querrey,15-15,100,1,.69513798,761
0,Sam Querrey,15-30,100,1,.65721649,388
0,Sam Querrey,15-40,100,1,.63687152,179
0,Sam Querrey,30-0,100,1,.71212119,858
0,Sam Querrey,30-15,100,1,.66237116,776
0,Sam Querrey,30-30,100,1,.64603484,517
0,Sam Querrey,30-40,100,1,.65656567,297
0,Sam Querrey,40-0,100,1,.66939443,611
0,Sam Querrey,40-15,100,1,.68994415,716
0,Sam Querrey,40-30,100,1,.67625898,556
0,Sam Querrey,40-40,100,1,.65866667,375
0,Sam Querrey,40-50,100,1,.67647058,170
0,Sam Querrey,50-40,100,1,.69278997,319
3,Chris Guccione,0-0,100,1,.66666669,24
3,Chris Guccione,0-15,100,1,.75,8
3,Chris Guccione,0-30,100,1,1,2
3,Chris Guccione,15-0,100,1,.625,16
3,Chris Guccione,15-15,100,1,.58333331,12
3,Chris Guccione,15-30,100,1,.71428573,7
3,Chris Guccione,15-40,100,1,0,2
3,Chris Guccione,30-0,100,1,.60000002,10
3,Chris Guccione,30-15,100,1,.63636363,11
3,Chris Guccione,30-30,100,1,.55555558,9
3,Chris Guccione,30-40,100,1,.75,4
3,Chris Guccione,40-0,100,1,.83333331,6
3,Chris Guccione,40-15,100,1,.5,8
3,Chris Guccione,40-30,100,1,.77777779,9
3,Chris Guccione,40-40,100,1,.80000001,5
3,Chris Guccione,40-50,100,1,1,1
3,Chris Guccione,50-40,100,1,.80000001,5
7,Blaz Rola,0-0,100,1,.57692307,156
7,Blaz Rola,0-15,100,1,.530303,66
7,Blaz Rola,0-30,100,1,.7096774,31
7,Blaz Rola,0-40,100,1,.77777779,9
7,Blaz Rola,15-0,100,1,.58888888,90
7,Blaz Rola,15-15,100,1,.7361111,72
7,Blaz Rola,15-30,100,1,.65853661,41
7,Blaz Rola,15-40,100,1,.66666669,21
7,Blaz Rola,30-0,100,1,.5471698,53
7,Blaz Rola,30-15,100,1,.62337661,77
7,Blaz Rola,30-30,100,1,.4107143,56
7,Blaz Rola,30-40,100,1,.63829786,47
7,Blaz Rola,40-0,100,1,.65517241,29
7,Blaz Rola,40-15,100,1,.67241377,58
7,Blaz Rola,40-30,100,1,.71428573,42
7,Blaz Rola,40-40,100,1,.74418604,43
7,Blaz Rola,40-50,100,1,.60000002,15
7,Blaz Rola,50-40,100,1,.55555558,36
8,Roberto Carballes Baena,0-0,100,1,.63043481,46
8,Roberto Carballes Baena,0-15,100,1,.52941179,17
8,Roberto Carballes Baena,0-30,100,1,.5,8
8,Roberto Carballes Baena,0-40,100,1,.75,4
8,Roberto Carballes Baena,15-0,100,1,.62068963,29
8,Roberto Carballes Baena,15-15,100,1,.60000002,20
8,Roberto Carballes Baena,15-30,100,1,.58333331,12
8,Roberto Carballes Baena,15-40,100,1,.5,8
8,Roberto Carballes Baena,30-0,100,1,.6111111,18
8,Roberto Carballes Baena,30-15,100,1,.52631581,19
8,Roberto Carballes Baena,30-30,100,1,.4375,16
8,Roberto Carballes Baena,30-40,100,1,.38461539,13
8,Roberto Carballes Baena,40-0,100,1,.72727275,11
8,Roberto Carballes Baena,40-15,100,1,.46153846,13
8,Roberto Carballes Baena,40-30,100,1,.5714286,14
8,Roberto Carballes Baena,40-40,100,1,.45454547,11
8,Roberto Carballes Baena,40-50,100,1,.42857143,7
8,Roberto Carballes Baena,50-40,100,1,.71428573,7
9,Lucas Miedler,0-0,100,1,.71428573,14
9,Lucas Miedler,0-15,100,1,.5,4
9,Lucas Miedler,0-30,100,1,0,2
9,Lucas Miedler,0-40,100,1,.5,2
9,Lucas Miedler,15-0,100,1,.69999999,10
9,Lucas Miedler,15-15,100,1,.80000001,5
9,Lucas Miedler,15-30,100,1,1,1
9,Lucas Miedler,15-40,100,1,1,1
9,Lucas Miedler,30-0,100,1,.85714287,7
9,Lucas Miedler,30-15,100,1,.80000001,5
9,Lucas Miedler,30-30,100,1,0,2
9,Lucas Miedler,30-40,100,1,.66666669,3
9,Lucas Miedler,40-0,100,1,.5,6
9,Lucas Miedler,40-15,100,1,.42857143,7
9,Lucas Miedler,40-30,100,1,.25,4
9,Lucas Miedler,40-40,100,1,.80000001,5
9,Lucas Miedler,40-50,100,1,1,1
9,Lucas Miedler,50-40,100,1,.40000001,5
10,Jan Hajek,0-0,100,1,.59401709,234
10,Jan Hajek,0-15,100,1,.62105262,95
10,Jan Hajek,0-30,100,1,.44444445,36
10,Jan Hajek,0-40,100,1,.40000001,20
10,Jan Hajek,15-0,100,1,.66187048,139
10,Jan Hajek,15-15,100,1,.66037738,106
10,Jan Hajek,15-30,100,1,.57692307,52
10,Jan Hajek,15-40,100,1,.69999999,30
10,Jan Hajek,30-0,100,1,.65217394,92
10,Jan Hajek,30-15,100,1,.63725489,102
10,Jan Hajek,30-30,100,1,.56716418,67
10,Jan Hajek,30-40,100,1,.57999998,50
10,Jan Hajek,40-0,100,1,.68333334,60
10,Jan Hajek,40-15,100,1,.72619045,84
10,Jan Hajek,40-30,100,1,.55737704,61
10,Jan Hajek,40-40,100,1,.58928573,56
10,Jan Hajek,40-50,100,1,.60000002,25
10,Jan Hajek,50-40,100,1,.76086956,46
11,Florian Mayer,0-0,100,1,.63265306,1029
11,Florian Mayer,0-15,100,1,.60582012,378
11,Florian Mayer,0-30,100,1,.58389264,149
11,Florian Mayer,0-40,100,1,.51612902,62
11,Florian Mayer,15-0,100,1,.63594472,651
11,Florian Mayer,15-15,100,1,.60515022,466
11,Florian Mayer,15-30,100,1,.62361622,271
11,Florian Mayer,15-40,100,1,.57462686,134
11,Florian Mayer,30-0,100,1,.65217394,414
11,Florian Mayer,30-15,100,1,.6079812,426
11,Florian Mayer,30-30,100,1,.60714287,336
11,Florian Mayer,30-40,100,1,.57619047,210
11,Florian Mayer,40-0,100,1,.72592592,270
11,Florian Mayer,40-15,100,1,.67567569,333
11,Florian Mayer,40-30,100,1,.61858976,312
11,Florian Mayer,40-40,100,1,.60416669,240
11,Florian Mayer,40-50,100,1,.61538464,117
11,Florian Mayer,50-40,100,1,.657754,187
12,Michael Lammer,0-0,100,1,.52777779,36
12,Michael Lammer,0-15,100,1,.64705884,17
12,Michael Lammer,0-30,100,1,.83333331,6
12,Michael Lammer,0-40,100,1,1,1
12,Michael Lammer,15-0,100,1,.63157892,19
12,Michael Lammer,15-15,100,1,.8888889,18
12,Michael Lammer,15-30,100,1,.71428573,7
12,Michael Lammer,15-40,100,1,0,3
12,Michael Lammer,30-0,100,1,.75,12
12,Michael Lammer,30-15,100,1,.68421054,19
12,Michael Lammer,30-30,100,1,.54545456,11
12,Michael Lammer,30-40,100,1,.80000001,5
12,Michael Lammer,40-0,100,1,.77777779,9
12,Michael Lammer,40-15,100,1,.60000002,15
12,Michael Lammer,40-30,100,1,.66666669,12
12,Michael Lammer,40-40,100,1,.875,8
12,Michael Lammer,40-50,100,1,1,1
12,Michael Lammer,50-40,100,1,.75,8
14,Aljaz Bedene,0-0,100,1,.65845072,568
14,Aljaz Bedene,0-15,100,1,.68041235,194
14,Aljaz Bedene,0-30,100,1,.51612902,62
14,Aljaz Bedene,0-40,100,1,.5,30
14,Aljaz Bedene,15-0,100,1,.66042781,374
14,Aljaz Bedene,15-15,100,1,.65250963,259
14,Aljaz Bedene,15-30,100,1,.63114756,122
14,Aljaz Bedene,15-40,100,1,.56666666,60
14,Aljaz Bedene,30-0,100,1,.63967609,247
14,Aljaz Bedene,30-15,100,1,.67441863,258
14,Aljaz Bedene,30-30,100,1,.66459626,161
14,Aljaz Bedene,30-40,100,1,.61363637,88
14,Aljaz Bedene,40-0,100,1,.66455698,158
14,Aljaz Bedene,40-15,100,1,.66519827,227
14,Aljaz Bedene,40-30,100,1,.6557377,183
14,Aljaz Bedene,40-40,100,1,.56410259,117
14,Aljaz Bedene,40-50,100,1,.58928573,56
14,Aljaz Bedene,50-40,100,1,.6179775,89
18,Rohan Bopanna,0-0,100,1,.76923078,13
18,Rohan Bopanna,0-15,100,1,.66666669,3
18,Rohan Bopanna,0-30,100,1,1,1
18,Rohan Bopanna,15-0,100,1,.30000001,10
18,Rohan Bopanna,15-15,100,1,.44444445,9
18,Rohan Bopanna,15-30,100,1,.5,6
18,Rohan Bopanna,15-40,100,1,.66666669,3
18,Rohan Bopanna,30-0,100,1,.66666669,3
18,Rohan Bopanna,30-15,100,1,.40000001,5
18,Rohan Bopanna,30-30,100,1,.83333331,6
18,Rohan Bopanna,30-40,100,1,.66666669,3
18,Rohan Bopanna,40-0,100,1,.5,2
18,Rohan Bopanna,40-15,100,1,.66666669,3
18,Rohan Bopanna,40-30,100,1,.66666669,6
18,Rohan Bopanna,40-40,100,1,.75,4
18,Rohan Bopanna,40-50,100,1,.5,2
18,Rohan Bopanna,50-40,100,1,.33333334,3
19,Igor Kunitsyn,0-0,100,1,.63793105,232
19,Igor Kunitsyn,0-15,100,1,.60714287,84
19,Igor Kunitsyn,0-30,100,1,.57575756,33
19,Igor Kunitsyn,0-40,100,1,.64285713,14
19,Igor Kunitsyn,15-0,100,1,.63513511,148
19,Igor Kunitsyn,15-15,100,1,.62857145,105
19,Igor Kunitsyn,15-30,100,1,.63793105,58
19,Igor Kunitsyn,15-40,100,1,.5,30
19,Igor Kunitsyn,30-0,100,1,.62765956,94
19,Igor Kunitsyn,30-15,100,1,.59405941,101
19,Igor Kunitsyn,30-30,100,1,.62820512,78
19,Igor Kunitsyn,30-40,100,1,.59090906,44
19,Igor Kunitsyn,40-0,100,1,.64406782,59
19,Igor Kunitsyn,40-15,100,1,.5925926,81
19,Igor Kunitsyn,40-30,100,1,.69512194,82
19,Igor Kunitsyn,40-40,100,1,.60784316,51
19,Igor Kunitsyn,40-50,100,1,.68000001,25
19,Igor Kunitsyn,50-40,100,1,.61363637,44
20,Marton Fucsovics,0-0,100,1,.70454544,44
20,Marton Fucsovics,0-15,100,1,.53846157,13
20,Marton Fucsovics,0-30,100,1,.66666669,6
20,Marton Fucsovics,0-40,100,1,.5,2
20,Marton Fucsovics,15-0,100,1,.51612902,31
20,Marton Fucsovics,15-15,100,1,.68181819,22
20,Marton Fucsovics,15-30,100,1,.81818181,11
20,Marton Fucsovics,15-40,100,1,1,3
20,Marton Fucsovics,30-0,100,1,.4375,16
20,Marton Fucsovics,30-15,100,1,.70833331,24
20,Marton Fucsovics,30-30,100,1,.3125,16
20,Marton Fucsovics,30-40,100,1,.5714286,14
20,Marton Fucsovics,40-0,100,1,.5714286,7
20,Marton Fucsovics,40-15,100,1,.80000001,20
20,Marton Fucsovics,40-30,100,1,.77777779,9
20,Marton Fucsovics,40-40,100,1,.89999998,10
20,Marton Fucsovics,40-50,100,1,1,4
20,Marton Fucsovics,50-40,100,1,.66666669,9
21,Fabiano De Paula,0-0,100,1,.69999999,10
21,Fabiano De Paula,0-15,100,1,.33333334,3
21,Fabiano De Paula,0-30,100,1,1,2
21,Fabiano De Paula,15-0,100,1,.71428573,7
21,Fabiano De Paula,15-15,100,1,1,3
21,Fabiano De Paula,15-30,100,1,0,2
21,Fabiano De Paula,15-40,100,1,.5,2
21,Fabiano De Paula,30-0,100,1,.80000001,5
21,Fabiano De Paula,30-15,100,1,1,4
21,Fabiano De Paula,30-40,100,1,0,1
21,Fabiano De Paula,40-0,100,1,.75,4
21,Fabiano De Paula,40-15,100,1,1,5
22,Julien Benneteau,0-0,100,1,.61787474,1421
22,Julien Benneteau,0-15,100,1,.6077348,543
22,Julien Benneteau,0-30,100,1,.6056338,213
22,Julien Benneteau,0-40,100,1,.51190478,84
22,Julien Benneteau,15-0,100,1,.62713796,877
22,Julien Benneteau,15-15,100,1,.63926941,657
22,Julien Benneteau,15-30,100,1,.59016395,366
22,Julien Benneteau,15-40,100,1,.58854169,192
22,Julien Benneteau,30-0,100,1,.68909091,550
22,Julien Benneteau,30-15,100,1,.64974618,591
22,Julien Benneteau,30-30,100,1,.61465722,423
22,Julien Benneteau,30-40,100,1,.60288811,277
22,Julien Benneteau,40-0,100,1,.646438,379
22,Julien Benneteau,40-15,100,1,.61196911,518
22,Julien Benneteau,40-30,100,1,.65075922,461
22,Julien Benneteau,40-40,100,1,.59451222,328
22,Julien Benneteau,40-50,100,1,.63473052,167
22,Julien Benneteau,50-40,100,1,.62595421,262
24,Andre Ghem,0-0,100,1,.89999998,10
24,Andre Ghem,0-15,100,1,1,1
24,Andre Ghem,15-0,100,1,.55555558,9
24,Andre Ghem,15-15,100,1,.60000002,5
24,Andre Ghem,15-30,100,1,1,2
24,Andre Ghem,30-0,100,1,.60000002,5
24,Andre Ghem,30-15,100,1,.60000002,5
24,Andre Ghem,30-30,100,1,.5,4
24,Andre Ghem,30-40,100,1,0,2
24,Andre Ghem,40-0,100,1,.33333334,3
24,Andre Ghem,40-15,100,1,.40000001,5
24,Andre Ghem,40-30,100,1,.40000001,5
24,Andre Ghem,40-40,100,1,1,3
24,Andre Ghem,50-40,100,1,1,3
25,Andrea Arnaboldi,0-0,100,1,.625,72
25,Andrea Arnaboldi,0-15,100,1,.7037037,27
25,Andrea Arnaboldi,0-30,100,1,.75,8
25,Andrea Arnaboldi,0-40,100,1,0,2
25,Andrea Arnaboldi,15-0,100,1,.71111113,45
25,Andrea Arnaboldi,15-15,100,1,.6875,32
25,Andrea Arnaboldi,15-30,100,1,.6875,16
25,Andrea Arnaboldi,15-40,100,1,.80000001,5
25,Andrea Arnaboldi,30-0,100,1,.5,32
25,Andrea Arnaboldi,30-15,100,1,.65789473,38
25,Andrea Arnaboldi,30-30,100,1,.45833334,24
25,Andrea Arnaboldi,30-40,100,1,.70588237,17
25,Andrea Arnaboldi,40-0,100,1,.8125,16
25,Andrea Arnaboldi,40-15,100,1,.78571427,28
25,Andrea Arnaboldi,40-30,100,1,.82352942,17
25,Andrea Arnaboldi,40-40,100,1,.80000001,15
25,Andrea Arnaboldi,40-50,100,1,.83333331,6
25,Andrea Arnaboldi,50-40,100,1,.60000002,15
27,Germain Gigounon,0-0,100,1,.38461539,13
27,Germain Gigounon,0-15,100,1,.625,8
27,Germain Gigounon,0-30,100,1,.66666669,3
27,Germain Gigounon,0-40,100,1,0,1
27,Germain Gigounon,15-0,100,1,.2,5
27,Germain Gigounon,15-15,100,1,.33333334,9
27,Germain Gigounon,15-30,100,1,.5,8
27,Germain Gigounon,15-40,100,1,.5,4
27,Germain Gigounon,30-0,100,1,1,1
27,Germain Gigounon,30-15,100,1,.66666669,3
27,Germain Gigounon,30-30,100,1,.60000002,5
27,Germain Gigounon,30-40,100,1,.25,4
27,Germain Gigounon,40-0,100,1,0,1
27,Germain Gigounon,40-15,100,1,.33333334,3
27,Germain Gigounon,40-30,100,1,1,5
27,Germain Gigounon,40-40,100,1,0,1
27,Germain Gigounon,40-50,100,1,1,1
27,Germain Gigounon,50-40,100,1,0,1
29,Victor Baluda,0-0,100,1,.69999999,10
29,Victor Baluda,0-15,100,1,.66666669,3
29,Victor Baluda,0-30,100,1,1,1
29,Victor Baluda,15-0,100,1,.5714286,7
29,Victor Baluda,15-15,100,1,.60000002,5
29,Victor Baluda,15-30,100,1,.66666669,3
29,Victor Baluda,15-40,100,1,0,1
29,Victor Baluda,30-0,100,1,1,4
29,Victor Baluda,30-15,100,1,.66666669,3
29,Victor Baluda,30-30,100,1,.66666669,3
29,Victor Baluda,30-40,100,1,0,1
29,Victor Baluda,40-0,100,1,.75,4
29,Victor Baluda,40-15,100,1,0,3
29,Victor Baluda,40-30,100,1,.60000002,5
29,Victor Baluda,40-40,100,1,1,2
29,Victor Baluda,40-50,100,1,1,1
29,Victor Baluda,50-40,100,1,.5,2
30,Patrick Ciorcila,0-0,100,1,.66666669,12
30,Patrick Ciorcila,0-15,100,1,.25,4
30,Patrick Ciorcila,0-30,100,1,.66666669,3
30,Patrick Ciorcila,0-40,100,1,1,1
30,Patrick Ciorcila,15-0,100,1,.625,8
30,Patrick Ciorcila,15-15,100,1,.5,4
30,Patrick Ciorcila,15-30,100,1,.75,4
30,Patrick Ciorcila,15-40,100,1,.5,2
30,Patrick Ciorcila,30-0,100,1,.60000002,5
30,Patrick Ciorcila,30-15,100,1,.75,4
30,Patrick Ciorcila,30-30,100,1,1,4
30,Patrick Ciorcila,30-40,100,1,1,1
30,Patrick Ciorcila,40-0,100,1,1,3
30,Patrick Ciorcila,40-15,100,1,.33333334,3
30,Patrick Ciorcila,40-30,100,1,.83333331,6
30,Patrick Ciorcila,40-40,100,1,0,2
30,Patrick Ciorcila,40-50,100,1,.5,2
30,Patrick Ciorcila,50-40,100,1,0,1
31,Igor Andreev,0-0,100,1,.68148148,270
31,Igor Andreev,0-15,100,1,.72093022,86
31,Igor Andreev,0-30,100,1,.54166669,24
31,Igor Andreev,0-40,100,1,.54545456,11
31,Igor Andreev,15-0,100,1,.59782606,184
31,Igor Andreev,15-15,100,1,.68382353,136
31,Igor Andreev,15-30,100,1,.66071427,56
31,Igor Andreev,15-40,100,1,.68000001,25
31,Igor Andreev,30-0,100,1,.61818182,110
