yearmonth,returnerid,returnername,gamescore,year,topn,rankGroupsReturner,rankGroupsServer,ones,returnerProbability,returnerFrequency
201204,0,Sam Querrey,0-0,2012,100,11,4,1,.31439394,528
201308,0,Sam Querrey,0-0,2013,100,3,3,1,.31042129,451
201403,0,Sam Querrey,0-0,2014,100,6,4,1,.30123457,405
201502,0,Sam Querrey,0-0,2015,100,5,2,1,.30616739,454
201210,0,Sam Querrey,0-15,2012,100,3,1,1,.35542169,166
201310,0,Sam Querrey,0-15,2013,100,4,2,1,.41428572,140
201401,0,Sam Querrey,0-15,2014,100,5,3,1,.39344263,122
201508,0,Sam Querrey,0-15,2015,100,4,6,1,.38848922,139
201210,0,Sam Querrey,0-30,2012,100,3,1,1,.27118644,59
201308,0,Sam Querrey,0-30,2013,100,3,6,1,.2631579,57
201402,0,Sam Querrey,0-30,2014,100,6,3,1,.29166666,48
201506,0,Sam Querrey,0-30,2015,100,4,6,1,.31481481,54
201205,0,Sam Querrey,0-40,2012,100,6,2,1,.25,16
201303,0,Sam Querrey,0-40,2013,100,2,6,1,.3125,16
201408,0,Sam Querrey,0-40,2014,100,6,1,1,.2857143,14
201508,0,Sam Querrey,0-40,2015,100,4,2,1,.23529412,17
201210,0,Sam Querrey,15-0,2012,100,3,3,1,.34254143,362
201305,0,Sam Querrey,15-0,2013,100,2,3,1,.33225808,310
201405,0,Sam Querrey,15-0,2014,100,6,6,1,.30035335,283
201504,0,Sam Querrey,15-0,2015,100,5,5,1,.31746033,315
201209,0,Sam Querrey,15-15,2012,100,3,1,1,.30735931,231
201302,0,Sam Querrey,15-15,2013,100,3,4,1,.26881722,186
201408,0,Sam Querrey,15-15,2014,100,6,6,1,.3018868,159
201508,0,Sam Querrey,15-15,2015,100,4,2,1,.34054053,185
201202,0,Sam Querrey,15-30,2012,100,6,5,1,.32456142,114
201302,0,Sam Querrey,15-30,2013,100,3,6,1,.34782609,92
201404,0,Sam Querrey,15-30,2014,100,6,5,1,.35365853,82
201501,0,Sam Querrey,15-30,2015,100,4,6,1,.34999999,100
201206,0,Sam Querrey,15-40,2012,100,6,2,1,.2857143,49
201303,0,Sam Querrey,15-40,2013,100,2,6,1,.41860464,43
201401,0,Sam Querrey,15-40,2014,100,5,2,1,.33333334,39
201510,0,Sam Querrey,15-40,2015,100,5,4,1,.41666666,48
201206,0,Sam Querrey,30-0,2012,100,6,2,1,.32352942,238
201305,0,Sam Querrey,30-0,2013,100,2,2,1,.25603864,207
201406,0,Sam Querrey,30-0,2014,100,6,3,1,.24747474,198
201507,0,Sam Querrey,30-0,2015,100,4,1,1,.31627908,215
201205,0,Sam Querrey,30-15,2012,100,6,1,1,.31223628,237
201309,0,Sam Querrey,30-15,2013,100,3,2,1,.34391534,189
201405,0,Sam Querrey,30-15,2014,100,6,6,1,.36250001,160
201506,0,Sam Querrey,30-15,2015,100,4,6,1,.34210527,190
201209,0,Sam Querrey,30-30,2012,100,3,1,1,.41721854,151
201307,0,Sam Querrey,30-30,2013,100,3,6,1,.336,125
201408,0,Sam Querrey,30-30,2014,100,6,6,1,.35135135,111
201505,0,Sam Querrey,30-30,2015,100,4,6,1,.30000001,130
201204,0,Sam Querrey,30-40,2012,100,11,4,1,.37755102,98
201305,0,Sam Querrey,30-40,2013,100,2,2,1,.3283582,67
201401,0,Sam Querrey,30-40,2014,100,5,6,1,.35384616,65
201504,0,Sam Querrey,30-40,2015,100,5,4,1,.29850745,67
201203,0,Sam Querrey,40-0,2012,100,6,3,1,.310559,161
201305,0,Sam Querrey,40-0,2013,100,2,1,1,.36363637,154
201402,0,Sam Querrey,40-0,2014,100,6,1,1,.32885906,149
201502,0,Sam Querrey,40-0,2015,100,5,2,1,.3197279,147
201209,0,Sam Querrey,40-15,2012,100,3,1,1,.32394367,213
201310,0,Sam Querrey,40-15,2013,100,4,2,1,.31666666,180
201402,0,Sam Querrey,40-15,2014,100,6,3,1,.29801324,151
201509,0,Sam Querrey,40-15,2015,100,5,6,1,.29651162,172
201211,0,Sam Querrey,40-30,2012,100,3,2,1,.29299363,157
201306,0,Sam Querrey,40-30,2013,100,2,6,1,.29285714,140
201406,0,Sam Querrey,40-30,2014,100,6,3,1,.33333334,117
201510,0,Sam Querrey,40-30,2015,100,5,5,1,.38028169,142
201210,0,Sam Querrey,40-40,2012,100,3,1,1,.39252338,107
201306,0,Sam Querrey,40-40,2013,100,2,6,1,.38372093,86
201403,0,Sam Querrey,40-40,2014,100,6,4,1,.32098764,81
201506,0,Sam Querrey,40-40,2015,100,4,6,1,.26732674,101
201208,0,Sam Querrey,40-50,2012,100,4,2,1,.35416666,48
201305,0,Sam Querrey,40-50,2013,100,2,1,1,.39130434,46
201404,0,Sam Querrey,40-50,2014,100,6,5,1,.25,32
201506,0,Sam Querrey,40-50,2015,100,4,6,1,.27272728,44
201210,0,Sam Querrey,50-40,2012,100,3,1,1,.32954547,88
201308,0,Sam Querrey,50-40,2013,100,3,3,1,.28985506,69
201407,0,Sam Querrey,50-40,2014,100,6,6,1,.27777779,72
201508,0,Sam Querrey,50-40,2015,100,4,1,1,.32222223,90
201307,3,Chris Guccione,0-0,2013,100,9999,6,1,.38461539,13
201406,3,Chris Guccione,0-0,2014,100,9999,4,1,.27272728,11
201307,3,Chris Guccione,0-15,2013,100,9999,6,1,.2,5
201406,3,Chris Guccione,0-15,2014,100,9999,4,1,.33333334,3
201307,3,Chris Guccione,0-30,2013,100,9999,6,1,0,1
201406,3,Chris Guccione,0-30,2014,100,9999,4,1,0,1
201307,3,Chris Guccione,15-0,2013,100,9999,6,1,.5,8
201406,3,Chris Guccione,15-0,2014,100,9999,4,1,.25,8
201307,3,Chris Guccione,15-15,2013,100,9999,6,1,.625,8
201406,3,Chris Guccione,15-15,2014,100,9999,4,1,0,4
201307,3,Chris Guccione,15-30,2013,100,9999,6,1,.33333334,6
201406,3,Chris Guccione,15-30,2014,100,9999,4,1,0,1
201307,3,Chris Guccione,15-40,2013,100,9999,6,1,1,2
201307,3,Chris Guccione,30-0,2013,100,9999,6,1,.25,4
201406,3,Chris Guccione,30-0,2014,100,9999,4,1,.5,6
201307,3,Chris Guccione,30-15,2013,100,9999,6,1,.5,4
201406,3,Chris Guccione,30-15,2014,100,9999,4,1,.2857143,7
201307,3,Chris Guccione,30-30,2013,100,9999,6,1,.33333334,6
201406,3,Chris Guccione,30-30,2014,100,9999,4,1,.66666669,3
201307,3,Chris Guccione,30-40,2013,100,9999,6,1,0,2
201406,3,Chris Guccione,30-40,2014,100,9999,4,1,.5,2
201307,3,Chris Guccione,40-0,2013,100,9999,6,1,.33333334,3
201406,3,Chris Guccione,40-0,2014,100,9999,4,1,0,3
201307,3,Chris Guccione,40-15,2013,100,9999,6,1,.33333334,3
201406,3,Chris Guccione,40-15,2014,100,9999,4,1,.60000002,5
201307,3,Chris Guccione,40-30,2013,100,9999,6,1,.2,5
201406,3,Chris Guccione,40-30,2014,100,9999,4,1,.25,4
201307,3,Chris Guccione,40-40,2013,100,9999,6,1,.33333334,3
201406,3,Chris Guccione,40-40,2014,100,9999,4,1,0,2
201307,3,Chris Guccione,40-50,2013,100,9999,6,1,0,1
201307,3,Chris Guccione,50-40,2013,100,9999,6,1,.33333334,3
201406,3,Chris Guccione,50-40,2014,100,9999,4,1,0,2
201401,7,Blaz Rola,0-0,2014,100,9999,6,1,.46341464,82
201508,7,Blaz Rola,0-0,2015,100,11,6,1,.37837839,74
201408,7,Blaz Rola,0-15,2014,100,6,4,1,.47368422,38
201508,7,Blaz Rola,0-15,2015,100,11,4,1,.4642857,28
201408,7,Blaz Rola,0-30,2014,100,6,5,1,.27777779,18
201502,7,Blaz Rola,0-30,2015,100,6,5,1,.30769232,13
201401,7,Blaz Rola,0-40,2014,100,9999,6,1,.2,5
201508,7,Blaz Rola,0-40,2015,100,11,6,1,.25,4
201408,7,Blaz Rola,15-0,2014,100,6,4,1,.34090909,44
201502,7,Blaz Rola,15-0,2015,100,6,5,1,.47826087,46
201408,7,Blaz Rola,15-15,2014,100,6,5,1,.25714287,35
