serverid,servername,gamescore,topn,ones,serverProbability,serverFrequency
0,Sam Querrey,0-0,100,1,.68480605,1856
0,Sam Querrey,0-15,100,1,.64273506,585
0,Sam Querrey,0-30,100,1,.69377989,209
0,Sam Querrey,0-40,100,1,.609375,64
0,Sam Querrey,15-0,100,1,.69551533,1271
0,Sam Querrey,15-15,100,1,.6745407,762
0,Sam Querrey,15-30,100,1,.62595421,393
0,Sam Querrey,15-40,100,1,.65053761,186
0,Sam Querrey,30-0,100,1,.69343889,884
0,Sam Querrey,30-15,100,1,.67048347,786
0,Sam Querrey,30-30,100,1,.63762379,505
0,Sam Querrey,30-40,100,1,.60855263,304
0,Sam Querrey,40-0,100,1,.67373574,613
0,Sam Querrey,40-15,100,1,.68225586,727
0,Sam Querrey,40-30,100,1,.63291138,553
0,Sam Querrey,40-40,100,1,.65206188,388
0,Sam Querrey,40-50,100,1,.62777776,180
0,Sam Querrey,50-40,100,1,.65846151,325
3,Chris Guccione,0-0,100,1,.75999999,25
3,Chris Guccione,0-15,100,1,.66666669,6
3,Chris Guccione,0-30,100,1,1,2
3,Chris Guccione,15-0,100,1,.57894737,19
3,Chris Guccione,15-15,100,1,.66666669,12
3,Chris Guccione,15-30,100,1,.5,6
3,Chris Guccione,15-40,100,1,.33333334,3
3,Chris Guccione,30-0,100,1,.45454547,11
3,Chris Guccione,30-15,100,1,.71428573,14
3,Chris Guccione,30-30,100,1,.71428573,7
3,Chris Guccione,30-40,100,1,.66666669,3
3,Chris Guccione,40-0,100,1,.40000001,5
3,Chris Guccione,40-15,100,1,.61538464,13
3,Chris Guccione,40-30,100,1,.69999999,10
3,Chris Guccione,40-40,100,1,.80000001,5
3,Chris Guccione,40-50,100,1,1,1
3,Chris Guccione,50-40,100,1,.80000001,5
7,Blaz Rola,0-0,100,1,.56830603,183
7,Blaz Rola,0-15,100,1,.58227849,79
7,Blaz Rola,0-30,100,1,.66666669,33
7,Blaz Rola,0-40,100,1,.54545456,11
7,Blaz Rola,15-0,100,1,.66346157,104
7,Blaz Rola,15-15,100,1,.66666669,81
7,Blaz Rola,15-30,100,1,.63265306,49
7,Blaz Rola,15-40,100,1,.56,25
7,Blaz Rola,30-0,100,1,.57971013,69
7,Blaz Rola,30-15,100,1,.73493975,83
7,Blaz Rola,30-30,100,1,.50943398,53
7,Blaz Rola,30-40,100,1,.52499998,40
7,Blaz Rola,40-0,100,1,.67500001,40
7,Blaz Rola,40-15,100,1,.52702701,74
7,Blaz Rola,40-30,100,1,.49180329,61
7,Blaz Rola,40-40,100,1,.5471698,53
7,Blaz Rola,40-50,100,1,.75757575,33
7,Blaz Rola,50-40,100,1,.5777778,45
8,Roberto Carballes Baena,0-0,100,1,.60000002,45
8,Roberto Carballes Baena,0-15,100,1,.6111111,18
8,Roberto Carballes Baena,0-30,100,1,.2857143,7
8,Roberto Carballes Baena,0-40,100,1,.80000001,5
8,Roberto Carballes Baena,15-0,100,1,.7037037,27
