yearmonth,serverid,servername,gamescore,year,topn,rankGroupsReturner,rankGroupsServer,ones,serverProbability,serverFrequency
201211,0,Sam Querrey,0-0,2012,100,2,3,1,.65849054,530
201302,0,Sam Querrey,0-0,2013,100,2,2,1,.67727274,440
201402,0,Sam Querrey,0-0,2014,100,3,6,1,.69320846,427
201503,0,Sam Querrey,0-0,2015,100,2,5,1,.71459693,459
201201,0,Sam Querrey,0-15,2012,100,6,6,1,.67403316,181
201305,0,Sam Querrey,0-15,2013,100,3,2,1,.61267608,142
201401,0,Sam Querrey,0-15,2014,100,6,5,1,.58778626,131
201506,0,Sam Querrey,0-15,2015,100,2,4,1,.68702292,131
201209,0,Sam Querrey,0-30,2012,100,1,3,1,.62711865,59
201308,0,Sam Querrey,0-30,2013,100,6,4,1,.74545455,55
201408,0,Sam Querrey,0-30,2014,100,2,6,1,.72222221,54
201502,0,Sam Querrey,0-30,2015,100,5,5,1,.68292683,41
201208,0,Sam Querrey,0-40,2012,100,2,3,1,.59090906,22
201301,0,Sam Querrey,0-40,2013,100,6,3,1,.5714286,14
201408,0,Sam Querrey,0-40,2014,100,1,6,1,.60000002,15
201501,0,Sam Querrey,0-40,2015,100,6,4,1,.69230771,13
201202,0,Sam Querrey,15-0,2012,100,4,6,1,.70200574,349
201308,0,Sam Querrey,15-0,2013,100,6,4,1,.68013465,297
201408,0,Sam Querrey,15-0,2014,100,6,6,1,.69023567,297
201506,0,Sam Querrey,15-0,2015,100,2,4,1,.70731705,328
201202,0,Sam Querrey,15-15,2012,100,6,6,1,.63274336,226
201307,0,Sam Querrey,15-15,2013,100,6,3,1,.78571427,182
201402,0,Sam Querrey,15-15,2014,100,1,6,1,.64497042,169
201510,0,Sam Querrey,15-15,2015,100,1,6,1,.64324325,185
201210,0,Sam Querrey,15-30,2012,100,2,3,1,.66666669,120
201302,0,Sam Querrey,15-30,2013,100,6,2,1,.625,80
201401,0,Sam Querrey,15-30,2014,100,2,5,1,.60606062,99
201502,0,Sam Querrey,15-30,2015,100,5,5,1,.59574467,94
201206,0,Sam Querrey,15-40,2012,100,3,6,1,.64150941,53
201302,0,Sam Querrey,15-40,2013,100,2,2,1,.65789473,38
201408,0,Sam Querrey,15-40,2014,100,6,6,1,.6875,48
201507,0,Sam Querrey,15-40,2015,100,6,4,1,.61702126,47
201206,0,Sam Querrey,30-0,2012,100,3,6,1,.67755103,245
201310,0,Sam Querrey,30-0,2013,100,3,4,1,.70792079,202
201408,0,Sam Querrey,30-0,2014,100,6,6,1,.65365851,205
201506,0,Sam Querrey,30-0,2015,100,6,4,1,.73275864,232
201205,0,Sam Querrey,30-15,2012,100,1,6,1,.63963962,222
201305,0,Sam Querrey,30-15,2013,100,1,2,1,.64356434,202
201404,0,Sam Querrey,30-15,2014,100,5,6,1,.68333334,180
201506,0,Sam Querrey,30-15,2015,100,3,4,1,.72527474,182
201206,0,Sam Querrey,30-30,2012,100,3,6,1,.61874998,160
201305,0,Sam Querrey,30-30,2013,100,3,2,1,.63934427,122
201408,0,Sam Querrey,30-30,2014,100,2,6,1,.60683763,117
201510,0,Sam Querrey,30-30,2015,100,1,6,1,.6981132,106
201205,0,Sam Querrey,30-40,2012,100,2,6,1,.60000002,95
201308,0,Sam Querrey,30-40,2013,100,3,4,1,.62318838,69
