returnername,gamescore,returnPointProbability,returnPointFreq,opponentScore,playerScore
,.-.,,97837,,
Czech Republic Doubles,0-0,.5,14,0,0
Czech Republic Doubles,0-15,.42857143,7,0,1
Czech Republic Doubles,0-30,.33333334,3,0,2
Czech Republic Doubles,0-40,0,1,0,3
Czech Republic Doubles,15-0,.71428573,7,1,0
Czech Republic Doubles,15-15,.66666669,9,1,1
Czech Republic Doubles,15-30,.375,8,1,2
Czech Republic Doubles,15-40,.25,4,1,3
Czech Republic Doubles,30-0,0,2,2,0
Czech Republic Doubles,30-15,.66666669,3,2,1
Czech Republic Doubles,30-30,.2857143,7,2,2
Czech Republic Doubles,30-40,.60000002,5,2,3
Czech Republic Doubles,40-0,.5,2,3,0
Czech Republic Doubles,40-15,0,2,3,1
Czech Republic Doubles,40-30,.40000001,5,3,2
Czech Republic Doubles,40-40,.66666669,6,3,3
Czech Republic Doubles,40-50,.75,4,3,4
Czech Republic Doubles,50-40,.5,2,4,3
Aleksandr Nedovesov,0-0,.30000001,10,0,0
Aleksandr Nedovesov,0-15,.33333334,3,0,1
Aleksandr Nedovesov,0-30,1,1,0,2
Aleksandr Nedovesov,0-40,0,1,0,3
Aleksandr Nedovesov,15-0,.2857143,7,1,0
Aleksandr Nedovesov,15-15,.5,4,1,1
Aleksandr Nedovesov,15-30,0,2,1,2
Aleksandr Nedovesov,15-40,1,1,1,3
Aleksandr Nedovesov,30-0,0,5,2,0
Aleksandr Nedovesov,30-15,0,2,2,1
Aleksandr Nedovesov,30-30,.5,2,2,2
Aleksandr Nedovesov,30-40,0,1,2,3
Aleksandr Nedovesov,40-0,.2,5,3,0
Aleksandr Nedovesov,40-15,.33333334,3,3,1
Aleksandr Nedovesov,40-30,.5,2,3,2
Aleksandr Nedovesov,40-40,.33333334,3,3,3
Aleksandr Nedovesov,40-50,0,1,3,4
Aleksandr Nedovesov,50-40,0,2,4,3
Aljaz Bedene,0-0,.34693879,343,0,0
Aljaz Bedene,0-15,.37815127,119,0,1
Aljaz Bedene,0-30,.2888889,45,0,2
Aljaz Bedene,0-40,.38461539,13,0,3
Aljaz Bedene,100-100,.5,8,7,7
Aljaz Bedene,100-101,.2,5,7,7
Aljaz Bedene,100-102,0,1,7,7
Aljaz Bedene,100-103,.5,2,7,7
Aljaz Bedene,100-104,1,1,7,7
Aljaz Bedene,101-100,0,1,7,7
Aljaz Bedene,101-101,.75,4,7,7
Aljaz Bedene,101-102,.5,4,7,7
Aljaz Bedene,101-103,.66666669,3,7,7
Aljaz Bedene,101-104,.5,2,7,7
Aljaz Bedene,101-105,0,1,7,7
Aljaz Bedene,101-106,0,1,7,8
Aljaz Bedene,102-100,0,1,7,7
Aljaz Bedene,102-101,1,1,7,7
Aljaz Bedene,102-102,0,3,7,7
Aljaz Bedene,102-103,0,1,7,7
Aljaz Bedene,102-104,0,1,7,7
Aljaz Bedene,102-105,1,1,7,7
Aljaz Bedene,102-106,.5,2,7,8
Aljaz Bedene,103-100,0,1,7,7
Aljaz Bedene,103-102,.5,2,7,7
Aljaz Bedene,103-103,.5,2,7,7
Aljaz Bedene,103-104,.5,2,7,7
Aljaz Bedene,103-105,0,1,7,7
Aljaz Bedene,103-106,0,1,7,8
Aljaz Bedene,104-100,1,1,7,7
Aljaz Bedene,104-102,1,1,7,7
Aljaz Bedene,104-103,.66666669,3,7,7
Aljaz Bedene,104-104,.66666669,3,7,7
