returnername,gamescore,returnPointProbability_top20,opponentScore,playerscore
Adrian Mannarino,0-0,.33333334,0,0
Adrian Mannarino,0-15,.2962963,0,1
Adrian Mannarino,0-30,.1875,0,2
Adrian Mannarino,0-40,1,0,3
Adrian Mannarino,15-0,.31481481,1,0
Adrian Mannarino,15-15,.22222222,1,1
Adrian Mannarino,15-30,.37931034,1,2
Adrian Mannarino,15-40,.090909094,1,3
Adrian Mannarino,30-0,.35135135,2,0
Adrian Mannarino,30-15,.34146342,2,1
Adrian Mannarino,30-30,.32608697,2,2
Adrian Mannarino,30-40,.47999999,2,3
Adrian Mannarino,40-0,.27083334,3,0
Adrian Mannarino,40-15,.34328359,3,1
Adrian Mannarino,40-30,.27777779,3,2
Adrian Mannarino,40-40,.27906978,3,3
Adrian Mannarino,40-50,.25,3,4
Adrian Mannarino,50-40,.19354838,4,3
Albert Montanes,0-0,.22222222,0,0
Albert Montanes,0-15,.5,0,1
Albert Montanes,0-30,0,0,2
Albert Montanes,15-0,.2857143,1,0
Albert Montanes,15-15,0,1,1
Albert Montanes,15-30,0,1,2
Albert Montanes,30-0,.60000002,2,0
Albert Montanes,30-15,.5,2,1
Albert Montanes,30-30,.25,2,2
Albert Montanes,30-40,0,2,3
Albert Montanes,40-0,.5,3,0
Albert Montanes,40-15,.5,3,1
Albert Montanes,40-30,.80000001,3,2
Albert Montanes,40-40,.42857143,3,3
Albert Montanes,40-50,.33333334,3,4
Albert Montanes,50-40,0,4,3
Albert Ramos,0-0,.32142857,0,0
Albert Ramos,0-15,0,0,1
Albert Ramos,15-0,.36842105,1,0
Albert Ramos,15-15,.3125,1,1
Albert Ramos,15-30,.60000002,1,2
Albert Ramos,15-40,.33333334,1,3
Albert Ramos,30-0,.083333336,2,0
Albert Ramos,30-15,.41666666,2,1
Albert Ramos,30-30,.42857143,2,2
Albert Ramos,30-40,.2,2,3
Albert Ramos,40-0,.36363637,3,0
Albert Ramos,40-15,.45454547,3,1
Albert Ramos,40-30,.66666669,3,2
Albert Ramos,40-40,.26666668,3,3
Albert Ramos,40-50,.75,3,4
Albert Ramos,50-40,.36363637,4,3
Albert Ramos-Vinolas,0-0,.27631578,0,0
Albert Ramos-Vinolas,0-15,.42857143,0,1
Albert Ramos-Vinolas,0-30,.44444445,0,2
Albert Ramos-Vinolas,0-40,.25,0,3
Albert Ramos-Vinolas,15-0,.23636363,1,0
Albert Ramos-Vinolas,15-15,.2,1,1
Albert Ramos-Vinolas,15-30,.40000001,1,2
Albert Ramos-Vinolas,15-40,.2857143,1,3
Albert Ramos-Vinolas,30-0,.19047619,2,0
Albert Ramos-Vinolas,30-15,.17857143,2,1
Albert Ramos-Vinolas,30-30,.27272728,2,2
Albert Ramos-Vinolas,30-40,.375,2,3
Albert Ramos-Vinolas,40-0,.2647059,3,0
Albert Ramos-Vinolas,40-15,.25,3,1
Albert Ramos-Vinolas,40-30,.375,3,2
Albert Ramos-Vinolas,40-40,.29411766,3,3
Albert Ramos-Vinolas,40-50,.40000001,3,4
Albert Ramos-Vinolas,50-40,.25,4,3
Alejandro Falla,0-0,.41666666,0,0
Alejandro Falla,0-15,0,0,1
Alejandro Falla,15-0,.14285715,1,0
Alejandro Falla,15-15,.33333334,1,1
Alejandro Falla,15-30,0,1,2
Alejandro Falla,30-0,.41666666,2,0
Alejandro Falla,30-15,.15384616,2,1
Alejandro Falla,30-30,.16666667,2,2
Alejandro Falla,30-40,1,2,3
Alejandro Falla,40-0,.42857143,3,0
Alejandro Falla,40-15,.2857143,3,1
Alejandro Falla,40-30,.33333334,3,2
Alejandro Falla,40-40,.40000001,3,3
Alejandro Falla,40-50,0,3,4
Alejandro Falla,50-40,0,4,3
Alejandro Gonzalez,0-0,.69999999,0,0
Alejandro Gonzalez,0-15,.2857143,0,1
Alejandro Gonzalez,0-30,.5,0,2
Alejandro Gonzalez,0-40,1,0,3
Alejandro Gonzalez,15-0,.33333334,1,0
Alejandro Gonzalez,15-15,.33333334,1,1
Alejandro Gonzalez,15-30,.66666669,1,2
Alejandro Gonzalez,15-40,0,1,3
Alejandro Gonzalez,30-0,.5,2,0
Alejandro Gonzalez,30-15,.2,2,1
Alejandro Gonzalez,30-30,0,2,2
Alejandro Gonzalez,30-40,0,2,3
Alejandro Gonzalez,40-0,1,3,0
Alejandro Gonzalez,40-15,.2,3,1
Alejandro Gonzalez,40-30,0,3,2
Alejandro Gonzalez,40-40,.40000001,3,3
Alejandro Gonzalez,40-50,0,3,4
Alejandro Gonzalez,50-40,.33333334,4,3
Alexander Zverev,0-0,.38636363,0,0
Alexander Zverev,0-15,.52941179,0,1
Alexander Zverev,0-30,.55555558,0,2
Alexander Zverev,0-40,.40000001,0,3
Alexander Zverev,15-0,.2962963,1,0
Alexander Zverev,15-15,.125,1,1
Alexander Zverev,15-30,.16666667,1,2
Alexander Zverev,15-40,.5,1,3
Alexander Zverev,30-0,.31578946,2,0
Alexander Zverev,30-15,.25,2,1
Alexander Zverev,30-30,.1,2,2
Alexander Zverev,30-40,1,2,3
Alexander Zverev,40-0,.23076923,3,0
Alexander Zverev,40-15,.3888889,3,1
Alexander Zverev,40-30,.3125,3,2
Alexander Zverev,40-40,.44444445,3,3
Alexander Zverev,40-50,.25,3,4
Alexander Zverev,50-40,.2,4,3
Alexandr Dolgopolov,0-0,.35772356,0,0
Alexandr Dolgopolov,0-15,.40909091,0,1
Alexandr Dolgopolov,0-30,.44444445,0,2
Alexandr Dolgopolov,0-40,.25,0,3
Alexandr Dolgopolov,15-0,.32911393,1,0
Alexandr Dolgopolov,15-15,.32692307,1,1
Alexandr Dolgopolov,15-30,.2962963,1,2
Alexandr Dolgopolov,15-40,.5714286,1,3
Alexandr Dolgopolov,30-0,.32075471,2,0
Alexandr Dolgopolov,30-15,.36538461,2,1
Alexandr Dolgopolov,30-30,.28947368,2,2
Alexandr Dolgopolov,30-40,.47058824,2,3
Alexandr Dolgopolov,40-0,.3611111,3,0
Alexandr Dolgopolov,40-15,.41304347,3,1
Alexandr Dolgopolov,40-30,.45652175,3,2
Alexandr Dolgopolov,40-40,.41999999,3,3
Alexandr Dolgopolov,40-50,.2857143,3,4
Alexandr Dolgopolov,50-40,.1724138,4,3
Aljaz Bedene,0-0,.34999999,0,0
Aljaz Bedene,0-15,.19047619,0,1
Aljaz Bedene,0-30,.5,0,2
Aljaz Bedene,0-40,1,0,3
Aljaz Bedene,15-0,.23076923,1,0
Aljaz Bedene,15-15,.30769232,1,1
Aljaz Bedene,15-30,.2,1,2
Aljaz Bedene,15-40,.5,1,3
Aljaz Bedene,30-0,.5,2,0
Aljaz Bedene,30-15,.30303031,2,1
Aljaz Bedene,30-30,.22222222,2,2
Aljaz Bedene,30-40,.60000002,2,3
Aljaz Bedene,40-0,.26666668,3,0
Aljaz Bedene,40-15,.22222222,3,1
Aljaz Bedene,40-30,.40000001,3,2
Aljaz Bedene,40-40,.2631579,3,3
Aljaz Bedene,40-50,.40000001,3,4
Aljaz Bedene,50-40,.42857143,4,3
Andrea Arnaboldi,0-0,.42307693,0,0
Andrea Arnaboldi,0-15,.18181819,0,1
Andrea Arnaboldi,0-30,.5,0,2
Andrea Arnaboldi,0-40,1,0,3
Andrea Arnaboldi,15-0,.2,1,0
Andrea Arnaboldi,15-15,.41666666,1,1
Andrea Arnaboldi,15-30,0,1,2
Andrea Arnaboldi,30-0,.16666667,2,0
Andrea Arnaboldi,30-15,.22222222,2,1
Andrea Arnaboldi,30-30,.375,2,2
Andrea Arnaboldi,30-40,.33333334,2,3
Andrea Arnaboldi,40-0,.1,3,0
Andrea Arnaboldi,40-15,.375,3,1
Andrea Arnaboldi,40-30,0,3,2
Andrea Arnaboldi,40-40,.33333334,3,3
Andrea Arnaboldi,40-50,0,3,4
Andrea Arnaboldi,50-40,0,4,3
Andreas Haider-Maurer,0-0,.28148147,0,0
Andreas Haider-Maurer,0-15,.34210527,0,1
Andreas Haider-Maurer,0-30,.38461539,0,2
Andreas Haider-Maurer,0-40,.60000002,0,3
Andreas Haider-Maurer,15-0,.21649484,1,0
Andreas Haider-Maurer,15-15,.2173913,1,1
Andreas Haider-Maurer,15-30,.22222222,1,2
Andreas Haider-Maurer,15-40,.33333334,1,3
Andreas Haider-Maurer,30-0,.22368421,2,0
Andreas Haider-Maurer,30-15,.24528302,2,1
Andreas Haider-Maurer,30-30,.22222222,2,2
Andreas Haider-Maurer,30-40,.30000001,2,3
