"","Topn","Gamescore","Breaks","Frequency","Density"
"1",100,"0-0",0.05,0,0
"2",100,"0-0",0.075,0,0
"3",100,"0-0",0.1,0,0
"4",100,"0-0",0.125,0,0
"5",100,"0-0",0.15,0,0
"6",100,"0-0",0.175,0,0
"7",100,"0-0",0.2,0,0
"8",100,"0-0",0.225,0,0
"9",100,"0-0",0.25,3,0.463320463320463
"10",100,"0-0",0.275,16,2.47104247104247
"11",100,"0-0",0.3,26,4.01544401544402
"12",100,"0-0",0.325,48,7.41312741312741
"13",100,"0-0",0.35,81,12.5096525096525
"14",100,"0-0",0.375,48,7.41312741312741
"15",100,"0-0",0.4,23,3.55212355212355
"16",100,"0-0",0.425,5,0.772200772200773
"17",100,"0-0",0.45,8,1.23552123552123
"18",100,"0-0",0.475,1,0.154440154440155
"19",100,"0-0",0.5,0,0
"20",100,"0-0",0.525,0,0
"21",100,"0-0",0.55,0,0
"22",100,"0-0",0.575,0,0
"23",100,"0-0",0.6,0,0
"24",100,"0-0",0.625,0,0
"25",100,"0-0",0.65,0,0
"26",100,"0-0",0.675,0,0
"27",100,"0-15",0.05,0,0
"28",100,"0-15",0.075,0,0
"29",100,"0-15",0.1,0,0
"30",100,"0-15",0.125,0,0
"31",100,"0-15",0.15,0,0
"32",100,"0-15",0.175,0,0
"33",100,"0-15",0.2,0,0
"34",100,"0-15",0.225,3,0.606060606060606
"35",100,"0-15",0.25,3,0.606060606060606
"36",100,"0-15",0.275,3,0.606060606060606
"37",100,"0-15",0.3,12,2.42424242424243
"38",100,"0-15",0.325,28,5.65656565656565
"39",100,"0-15",0.35,39,7.87878787878789
"40",100,"0-15",0.375,49,9.89898989898989
"41",100,"0-15",0.4,29,5.85858585858585
"42",100,"0-15",0.425,18,3.63636363636364
"43",100,"0-15",0.45,9,1.81818181818182
"44",100,"0-15",0.475,3,0.606060606060607
"45",100,"0-15",0.5,1,0.202020202020202
"46",100,"0-15",0.525,0,0
"47",100,"0-15",0.55,0,0
"48",100,"0-15",0.575,1,0.202020202020202
"49",100,"0-15",0.6,0,0
"50",100,"0-15",0.625,0,0
"51",100,"0-15",0.65,0,0
"52",100,"0-15",0.675,0,0
"53",100,"0-30",0.05,0,0
"54",100,"0-30",0.075,0,0
"55",100,"0-30",0.1,0,0
"56",100,"0-30",0.125,0,0
"57",100,"0-30",0.15,0,0
"58",100,"0-30",0.175,0,0
"59",100,"0-30",0.2,0,0
"60",100,"0-30",0.225,0,0
"61",100,"0-30",0.25,1,0.272108843537415
"62",100,"0-30",0.275,6,1.63265306122449
"63",100,"0-30",0.3,13,3.5374149659864
"64",100,"0-30",0.325,16,4.35374149659864
"65",100,"0-30",0.35,28,7.61904761904763
"66",100,"0-30",0.375,25,6.80272108843537
"67",100,"0-30",0.4,23,6.25850340136054
"68",100,"0-30",0.425,14,3.80952380952381
"69",100,"0-30",0.45,11,2.99319727891156
"70",100,"0-30",0.475,5,1.36054421768708
"71",100,"0-30",0.5,2,0.544217687074829
"72",100,"0-30",0.525,0,0
"73",100,"0-30",0.55,3,0.816326530612244
"74",100,"0-30",0.575,0,0
"75",100,"0-30",0.6,0,0
"76",100,"0-30",0.625,0,0
"77",100,"0-30",0.65,0,0
"78",100,"0-30",0.675,0,0
"79",100,"0-40",0.05,0,0
"80",100,"0-40",0.075,0,0
"81",100,"0-40",0.1,0,0
"82",100,"0-40",0.125,0,0
"83",100,"0-40",0.15,0,0
"84",100,"0-40",0.175,0,0
"85",100,"0-40",0.2,1,0.425531914893617
"86",100,"0-40",0.225,0,0
"87",100,"0-40",0.25,2,0.851063829787233
"88",100,"0-40",0.275,5,2.12765957446808
"89",100,"0-40",0.3,6,2.55319148936171
"90",100,"0-40",0.325,5,2.12765957446808
"91",100,"0-40",0.35,9,3.82978723404256
"92",100,"0-40",0.375,11,4.68085106382978
"93",100,"0-40",0.4,18,7.6595744680851
"94",100,"0-40",0.425,15,6.38297872340426
"95",100,"0-40",0.45,9,3.82978723404255
"96",100,"0-40",0.475,5,2.12765957446809
"97",100,"0-40",0.5,1,0.425531914893617
"98",100,"0-40",0.525,4,1.70212765957447
"99",100,"0-40",0.55,1,0.425531914893617
"100",100,"0-40",0.575,2,0.851063829787233
"101",100,"0-40",0.6,0,0
"102",100,"0-40",0.625,0,0
"103",100,"0-40",0.65,0,0
"104",100,"0-40",0.675,0,0
"105",100,"15-0",0.05,0,0
"106",100,"15-0",0.075,0,0
"107",100,"15-0",0.1,0,0
"108",100,"15-0",0.125,1,0.176211453744493
"109",100,"15-0",0.15,0,0
"110",100,"15-0",0.175,0,0
"111",100,"15-0",0.2,1,0.176211453744493
"112",100,"15-0",0.225,3,0.52863436123348
"113",100,"15-0",0.25,2,0.352422907488986
"114",100,"15-0",0.275,12,2.11453744493392
"115",100,"15-0",0.3,23,4.05286343612335
"116",100,"15-0",0.325,54,9.51541850220264
"117",100,"15-0",0.35,65,11.4537444933921
"118",100,"15-0",0.375,37,6.51982378854625
"119",100,"15-0",0.4,16,2.81938325991189
"120",100,"15-0",0.425,8,1.40969162995595
"121",100,"15-0",0.45,3,0.52863436123348
"122",100,"15-0",0.475,2,0.352422907488987
"123",100,"15-0",0.5,0,0
"124",100,"15-0",0.525,0,0
"125",100,"15-0",0.55,0,0
"126",100,"15-0",0.575,0,0
"127",100,"15-0",0.6,0,0
"128",100,"15-0",0.625,0,0
"129",100,"15-0",0.65,0,0
"130",100,"15-0",0.675,0,0
"131",100,"15-15",0.05,0,0
"132",100,"15-15",0.075,0,0
"133",100,"15-15",0.1,0,0
"134",100,"15-15",0.125,0,0
"135",100,"15-15",0.15,0,0
"136",100,"15-15",0.175,2,0.384615384615385
"137",100,"15-15",0.2,1,0.192307692307692
"138",100,"15-15",0.225,2,0.384615384615385
"139",100,"15-15",0.25,5,0.961538461538461
"140",100,"15-15",0.275,15,2.88461538461538
"141",100,"15-15",0.3,27,5.1923076923077
"142",100,"15-15",0.325,53,10.1923076923077
"143",100,"15-15",0.35,36,6.92307692307693
"144",100,"15-15",0.375,38,7.3076923076923
"145",100,"15-15",0.4,19,3.65384615384615
"146",100,"15-15",0.425,7,1.34615384615385
"147",100,"15-15",0.45,1,0.192307692307692
"148",100,"15-15",0.475,2,0.384615384615385
"149",100,"15-15",0.5,0,0
"150",100,"15-15",0.525,0,0
"151",100,"15-15",0.55,0,0
"152",100,"15-15",0.575,0,0
"153",100,"15-15",0.6,0,0
"154",100,"15-15",0.625,0,0
"155",100,"15-15",0.65,0,0
"156",100,"15-15",0.675,0,0
"157",100,"15-30",0.05,0,0
"158",100,"15-30",0.075,0,0
"159",100,"15-30",0.1,0,0
"160",100,"15-30",0.125,0,0
"161",100,"15-30",0.15,0,0
"162",100,"15-30",0.175,0,0
"163",100,"15-30",0.2,2,0.446927374301676
"164",100,"15-30",0.225,2,0.446927374301676
"165",100,"15-30",0.25,0,0
"166",100,"15-30",0.275,6,1.34078212290503
"167",100,"15-30",0.3,12,2.68156424581006
"168",100,"15-30",0.325,14,3.12849162011173
"169",100,"15-30",0.35,43,9.60893854748605
"170",100,"15-30",0.375,39,8.71508379888267
"171",100,"15-30",0.4,32,7.15083798882681
"172",100,"15-30",0.425,13,2.9050279329609
"173",100,"15-30",0.45,8,1.7877094972067
"174",100,"15-30",0.475,3,0.670391061452515
"175",100,"15-30",0.5,1,0.223463687150838
"176",100,"15-30",0.525,4,0.893854748603351
"177",100,"15-30",0.55,0,0
"178",100,"15-30",0.575,0,0
"179",100,"15-30",0.6,0,0
"180",100,"15-30",0.625,0,0
"181",100,"15-30",0.65,0,0
"182",100,"15-30",0.675,0,0
"183",100,"15-40",0.05,0,0
"184",100,"15-40",0.075,0,0
"185",100,"15-40",0.1,0,0
"186",100,"15-40",0.125,0,0
"187",100,"15-40",0.15,0,0
"188",100,"15-40",0.175,0,0
"189",100,"15-40",0.2,1,0.287769784172662
"190",100,"15-40",0.225,0,0
"191",100,"15-40",0.25,2,0.575539568345323
"192",100,"15-40",0.275,6,1.72661870503597
"193",100,"15-40",0.3,11,3.16546762589928
"194",100,"15-40",0.325,15,4.31654676258992
"195",100,"15-40",0.35,24,6.90647482014389
"196",100,"15-40",0.375,27,7.76978417266186
"197",100,"15-40",0.4,20,5.75539568345323
"198",100,"15-40",0.425,18,5.17985611510792
"199",100,"15-40",0.45,10,2.87769784172662
"200",100,"15-40",0.475,3,0.863309352517987
"201",100,"15-40",0.5,2,0.575539568345323
"202",100,"15-40",0.525,0,0
"203",100,"15-40",0.55,0,0
"204",100,"15-40",0.575,0,0
"205",100,"15-40",0.6,0,0
"206",100,"15-40",0.625,0,0
"207",100,"15-40",0.65,0,0
"208",100,"15-40",0.675,0,0
"209",100,"30-0",0.05,0,0
"210",100,"30-0",0.075,0,0
"211",100,"30-0",0.1,0,0
"212",100,"30-0",0.125,0,0
"213",100,"30-0",0.15,0,0
"214",100,"30-0",0.175,2,0.392156862745098
"215",100,"30-0",0.2,1,0.196078431372549
"216",100,"30-0",0.225,9,1.76470588235294
"217",100,"30-0",0.25,6,1.17647058823529
"218",100,"30-0",0.275,22,4.31372549019607
"219",100,"30-0",0.3,53,10.3921568627451
"220",100,"30-0",0.325,50,9.80392156862744
"221",100,"30-0",0.35,34,6.66666666666667
"222",100,"30-0",0.375,12,2.35294117647059
"223",100,"30-0",0.4,8,1.56862745098039
"224",100,"30-0",0.425,5,0.980392156862746
