"","Topn","Gamescore","Breaks","Frequency","Density"
"1",100,"0-0",0.25,0,0
"2",100,"0-0",0.275,0,0
"3",100,"0-0",0.3,0,0
"4",100,"0-0",0.325,0,0
"5",100,"0-0",0.35,1,0.153846153846154
"6",100,"0-0",0.375,0,0
"7",100,"0-0",0.4,0,0
"8",100,"0-0",0.425,1,0.153846153846154
"9",100,"0-0",0.45,4,0.615384615384615
"10",100,"0-0",0.475,3,0.461538461538462
"11",100,"0-0",0.5,4,0.615384615384615
"12",100,"0-0",0.525,6,0.923076923076922
"13",100,"0-0",0.55,10,1.53846153846154
"14",100,"0-0",0.575,22,3.38461538461538
"15",100,"0-0",0.6,64,9.84615384615388
"16",100,"0-0",0.625,65,9.99999999999999
"17",100,"0-0",0.65,52,7.99999999999999
"18",100,"0-0",0.675,16,2.46153846153846
"19",100,"0-0",0.7,8,1.23076923076923
"20",100,"0-0",0.725,2,0.307692307692309
"21",100,"0-0",0.75,0,0
"22",100,"0-0",0.775,2,0.307692307692307
"23",100,"0-0",0.8,0,0
"24",100,"0-0",0.825,0,0
"25",100,"0-0",0.85,0,0
"26",100,"0-0",0.875,0,0
"27",100,"0-15",0.25,0,0
"28",100,"0-15",0.275,0,0
"29",100,"0-15",0.3,0,0
"30",100,"0-15",0.325,0,0
"31",100,"0-15",0.35,0,0
"32",100,"0-15",0.375,1,0.198019801980198
"33",100,"0-15",0.4,1,0.198019801980198
"34",100,"0-15",0.425,1,0.198019801980198
"35",100,"0-15",0.45,4,0.792079207920791
"36",100,"0-15",0.475,1,0.198019801980198
"37",100,"0-15",0.5,3,0.594059405940594
"38",100,"0-15",0.525,17,3.36633663366336
"39",100,"0-15",0.55,21,4.15841584158416
"40",100,"0-15",0.575,35,6.93069306930692
"41",100,"0-15",0.6,46,9.10891089108914
"42",100,"0-15",0.625,36,7.12871287128712
"43",100,"0-15",0.65,21,4.15841584158416
"44",100,"0-15",0.675,11,2.17821782178218
"45",100,"0-15",0.7,3,0.594059405940594
"46",100,"0-15",0.725,1,0.198019801980199
"47",100,"0-15",0.75,0,0
"48",100,"0-15",0.775,0,0
"49",100,"0-15",0.8,0,0
"50",100,"0-15",0.825,0,0
"51",100,"0-15",0.85,0,0
"52",100,"0-15",0.875,0,0
"53",100,"0-30",0.25,0,0
"54",100,"0-30",0.275,0,0
"55",100,"0-30",0.3,0,0
"56",100,"0-30",0.325,0,0
"57",100,"0-30",0.35,0,0
"58",100,"0-30",0.375,0,0
"59",100,"0-30",0.4,0,0
"60",100,"0-30",0.425,1,0.258064516129033
"61",100,"0-30",0.45,0,0
"62",100,"0-30",0.475,2,0.516129032258065
"63",100,"0-30",0.5,5,1.29032258064516
"64",100,"0-30",0.525,12,3.09677419354838
"65",100,"0-30",0.55,18,4.64516129032258
"66",100,"0-30",0.575,21,5.41935483870967
"67",100,"0-30",0.6,32,8.25806451612906
"68",100,"0-30",0.625,28,7.2258064516129
"69",100,"0-30",0.65,15,3.87096774193548
"70",100,"0-30",0.675,14,3.61290322580645
"71",100,"0-30",0.7,5,1.29032258064516
"72",100,"0-30",0.725,2,0.516129032258066
"73",100,"0-30",0.75,0,0
"74",100,"0-30",0.775,0,0
"75",100,"0-30",0.8,0,0
"76",100,"0-30",0.825,0,0
"77",100,"0-30",0.85,0,0
"78",100,"0-30",0.875,0,0
"79",100,"0-40",0.25,0,0
"80",100,"0-40",0.275,0,0
"81",100,"0-40",0.3,0,0
"82",100,"0-40",0.325,1,0.404040404040404
"83",100,"0-40",0.35,1,0.404040404040405
"84",100,"0-40",0.375,0,0
