servername,gamescore,servePointProbability_top20,servePointFreq_top20,playerScore,opponentScore
Adrian Mannarino,0-0,.67096776,155,0,0
Adrian Mannarino,0-15,.64705884,51,0,1
Adrian Mannarino,0-30,.6111111,18,0,2
Adrian Mannarino,0-40,.5714286,7,0,3
Adrian Mannarino,100-100,.5,2,7,7
Adrian Mannarino,100-101,.33333334,3,7,7
Adrian Mannarino,100-102,1,2,7,7
Adrian Mannarino,101-100,1,1,7,7
Adrian Mannarino,101-101,1,1,7,7
Adrian Mannarino,101-102,.5,2,7,7
Adrian Mannarino,101-103,0,1,7,7
Adrian Mannarino,101-104,.5,2,7,7
Adrian Mannarino,101-105,1,1,7,7
Adrian Mannarino,102-100,1,1,7,7
Adrian Mannarino,102-102,1,1,7,7
Adrian Mannarino,102-103,0,1,7,7
Adrian Mannarino,102-104,.5,2,7,7
Adrian Mannarino,102-105,1,1,7,7
Adrian Mannarino,103-102,0,1,7,7
Adrian Mannarino,103-103,1,1,7,7
Adrian Mannarino,103-104,1,1,7,7
Adrian Mannarino,103-105,1,1,7,7
Adrian Mannarino,103-106,.5,2,7,8
Adrian Mannarino,104-104,1,1,7,7
Adrian Mannarino,104-106,1,1,7,8
Adrian Mannarino,105-106,0,2,7,8
Adrian Mannarino,106-103,0,1,8,7
Adrian Mannarino,106-104,1,1,8,7
Adrian Mannarino,15-0,.70192307,104,1,0
Adrian Mannarino,15-15,.6875,64,1,1
Adrian Mannarino,15-30,.54838711,31,1,2
Adrian Mannarino,15-40,.66666669,18,1,3
Adrian Mannarino,30-0,.60273975,73,2,0
Adrian Mannarino,30-15,.5479452,73,2,1
Adrian Mannarino,30-30,.57999998,50,2,2
Adrian Mannarino,30-40,.54545456,33,2,3
Adrian Mannarino,40-0,.72727275,44,3,0
Adrian Mannarino,40-15,.65384614,52,3,1
Adrian Mannarino,40-30,.63829786,47,3,2
Adrian Mannarino,40-40,.66666669,48,3,3
Adrian Mannarino,40-50,.375,16,3,4
Adrian Mannarino,50-40,.78125,32,4,3
Albert Montanes,0-0,.375,8,0,0
Albert Montanes,0-15,.80000001,5,0,1
Albert Montanes,0-30,1,1,0,2
Albert Montanes,15-0,.33333334,3,1,0
Albert Montanes,15-15,.66666669,6,1,1
Albert Montanes,15-30,.66666669,3,1,2
Albert Montanes,15-40,1,1,1,3
Albert Montanes,30-0,1,1,2,0
Albert Montanes,30-15,.5,4,2,1
Albert Montanes,30-30,.25,4,2,2
Albert Montanes,30-40,.5,4,2,3
Albert Montanes,40-0,0,1,3,0
Albert Montanes,40-15,.33333334,3,3,1
Albert Montanes,40-30,1,3,3,2
Albert Montanes,40-40,.25,4,3,3
Albert Montanes,40-50,.33333334,3,3,4
Albert Montanes,50-40,0,1,4,3
Albert Ramos,0-0,.48148149,27,0,0
Albert Ramos,0-15,.5,14,0,1
Albert Ramos,0-30,.71428573,7,0,2
Albert Ramos,0-40,1,2,0,3
Albert Ramos,100-101,0,1,7,7
Albert Ramos,100-102,1,1,7,7
Albert Ramos,101-104,1,1,7,7
Albert Ramos,102-104,1,1,7,7
Albert Ramos,104-105,0,1,7,7
Albert Ramos,104-106,1,1,7,8
Albert Ramos,106-107,0,1,8,8
Albert Ramos,15-0,.46153846,13,1,0
Albert Ramos,15-15,.64285713,14,1,1
Albert Ramos,15-30,.30000001,10,1,2
Albert Ramos,15-40,.44444445,9,1,3
Albert Ramos,30-0,.66666669,6,2,0
Albert Ramos,30-15,.90909094,11,2,1
Albert Ramos,30-30,.5,4,2,2
Albert Ramos,30-40,.5,6,2,3
Albert Ramos,40-0,.75,4,3,0
Albert Ramos,40-15,.90909094,11,3,1
Albert Ramos,40-30,1,3,3,2
Albert Ramos,40-40,.33333334,6,3,3
Albert Ramos,40-50,.75,4,3,4
Albert Ramos,50-40,1,2,4,3
Albert Ramos-Vinolas,0-0,.6438356,73,0,0
Albert Ramos-Vinolas,0-15,.57692307,26,0,1
Albert Ramos-Vinolas,0-30,.27272728,11,0,2
Albert Ramos-Vinolas,0-40,.625,8,0,3
Albert Ramos-Vinolas,100-101,1,2,7,7
Albert Ramos-Vinolas,101-101,.5,2,7,7
Albert Ramos-Vinolas,101-104,1,1,7,7
Albert Ramos-Vinolas,102-104,1,1,7,7
Albert Ramos-Vinolas,103-102,1,1,7,7
Albert Ramos-Vinolas,104-102,1,1,7,7
Albert Ramos-Vinolas,104-105,1,1,7,7
Albert Ramos-Vinolas,105-104,1,1,7,7
Albert Ramos-Vinolas,105-105,1,1,7,7
Albert Ramos-Vinolas,106-104,1,1,8,7
Albert Ramos-Vinolas,15-0,.68085104,47,1,0
Albert Ramos-Vinolas,15-15,.73333335,30,1,1
Albert Ramos-Vinolas,15-30,.45454547,11,1,2
Albert Ramos-Vinolas,15-40,1,11,1,3
Albert Ramos-Vinolas,30-0,.78125,32,2,0
Albert Ramos-Vinolas,30-15,.79310346,29,2,1
Albert Ramos-Vinolas,30-30,.72727275,11,2,2
Albert Ramos-Vinolas,30-40,.5714286,14,2,3
Albert Ramos-Vinolas,40-0,.68000001,25,3,0
Albert Ramos-Vinolas,40-15,.7096774,31,3,1
Albert Ramos-Vinolas,40-30,.58823532,17,3,2
Albert Ramos-Vinolas,40-40,.51612902,31,3,3
Albert Ramos-Vinolas,40-50,.73333335,15,3,4
Albert Ramos-Vinolas,50-40,.6875,16,4,3
Alejandro Falla,0-0,.63636363,22,0,0
Alejandro Falla,0-15,.75,8,0,1
Alejandro Falla,0-30,1,2,0,2
Alejandro Falla,15-0,.71428573,14,1,0
Alejandro Falla,15-15,.5,10,1,1
Alejandro Falla,15-30,.85714287,7,1,2
Alejandro Falla,15-40,0,1,1,3
Alejandro Falla,30-0,.69999999,10,2,0
Alejandro Falla,30-15,.625,8,2,1
Alejandro Falla,30-30,.55555558,9,2,2
Alejandro Falla,30-40,.5,4,2,3
Alejandro Falla,40-0,.5714286,7,3,0
Alejandro Falla,40-15,.625,8,3,1
Alejandro Falla,40-30,.75,8,3,2
Alejandro Falla,40-40,.40000001,10,3,3
Alejandro Falla,40-50,.83333331,6,3,4
Alejandro Falla,50-40,.75,4,4,3
Alejandro Gonzalez,0-0,.63636363,11,0,0
Alejandro Gonzalez,0-15,.75,4,0,1
Alejandro Gonzalez,0-30,0,1,0,2
Alejandro Gonzalez,0-40,0,1,0,3
Alejandro Gonzalez,15-0,.42857143,7,1,0
Alejandro Gonzalez,15-15,.71428573,7,1,1
Alejandro Gonzalez,15-30,1,2,1,2
Alejandro Gonzalez,30-0,.66666669,3,2,0
Alejandro Gonzalez,30-15,.83333331,6,2,1
Alejandro Gonzalez,30-30,.66666669,3,2,2
Alejandro Gonzalez,30-40,1,1,2,3
Alejandro Gonzalez,40-0,1,2,3,0
Alejandro Gonzalez,40-15,.80000001,5,3,1
Alejandro Gonzalez,40-30,.66666669,3,3,2
Alejandro Gonzalez,40-40,.2,5,3,3
Alejandro Gonzalez,40-50,.5,4,3,4
Alejandro Gonzalez,50-40,0,1,4,3
Alexander Zverev,0-0,.53333336,45,0,0
Alexander Zverev,0-15,.33333334,21,0,1
Alexander Zverev,0-30,.5,14,0,2
Alexander Zverev,0-40,.71428573,7,0,3
Alexander Zverev,100-100,1,1,7,7
Alexander Zverev,100-101,0,1,7,7
Alexander Zverev,100-102,1,1,7,7
Alexander Zverev,102-101,1,1,7,7
Alexander Zverev,102-103,0,1,7,7
Alexander Zverev,102-104,1,1,7,7
Alexander Zverev,103-101,1,1,7,7
Alexander Zverev,103-106,0,1,7,8
Alexander Zverev,104-103,0,1,7,7
Alexander Zverev,104-104,0,1,7,7
Alexander Zverev,105-106,1,1,7,8
Alexander Zverev,106-106,0,1,8,8
Alexander Zverev,107-108,1,1,8,8
Alexander Zverev,108-108,1,1,8,8
Alexander Zverev,109-110,1,1,8,8
Alexander Zverev,110-110,1,1,8,8
Alexander Zverev,112-111,0,1,8,8
Alexander Zverev,112-112,1,1,8,8
Alexander Zverev,15-0,.58333331,24,1,0
Alexander Zverev,15-15,.70588237,17,1,1
Alexander Zverev,15-30,.75,12,1,2
Alexander Zverev,15-40,.5,8,1,3
Alexander Zverev,30-0,.5714286,14,2,0
Alexander Zverev,30-15,.83333331,18,2,1
Alexander Zverev,30-30,.66666669,12,2,2
Alexander Zverev,30-40,.375,8,2,3
Alexander Zverev,40-0,.875,8,3,0
Alexander Zverev,40-15,.75,16,3,1
Alexander Zverev,40-30,.66666669,12,3,2
Alexander Zverev,40-40,.5714286,14,3,3
Alexander Zverev,40-50,.5,6,3,4
Alexander Zverev,50-40,.5,8,4,3
Alexandr Dolgopolov,0-0,.6280992,121,0,0
Alexandr Dolgopolov,0-15,.62222224,45,0,1
Alexandr Dolgopolov,0-30,.64705884,17,0,2
Alexandr Dolgopolov,0-40,.66666669,6,0,3
Alexandr Dolgopolov,100-100,1,1,7,7
Alexandr Dolgopolov,100-101,.66666669,3,7,7
Alexandr Dolgopolov,100-102,1,1,7,7
Alexandr Dolgopolov,101-100,1,2,7,7
Alexandr Dolgopolov,101-101,.5,2,7,7
Alexandr Dolgopolov,102-100,1,2,7,7
Alexandr Dolgopolov,102-101,1,1,7,7
Alexandr Dolgopolov,102-103,0,3,7,7
Alexandr Dolgopolov,102-104,.66666669,3,7,7
Alexandr Dolgopolov,103-101,0,1,7,7
Alexandr Dolgopolov,103-102,0,1,7,7
Alexandr Dolgopolov,103-103,1,1,7,7
Alexandr Dolgopolov,103-104,0,1,7,7
Alexandr Dolgopolov,103-105,1,1,7,7
Alexandr Dolgopolov,104-101,1,1,7,7
Alexandr Dolgopolov,104-105,1,2,7,7
Alexandr Dolgopolov,105-101,1,1,7,7
Alexandr Dolgopolov,105-104,0,1,7,7
Alexandr Dolgopolov,105-105,.33333334,3,7,7
Alexandr Dolgopolov,105-106,1,1,7,8
Alexandr Dolgopolov,106-103,1,1,8,7
Alexandr Dolgopolov,106-106,1,1,8,8
Alexandr Dolgopolov,107-106,1,1,8,8
Alexandr Dolgopolov,15-0,.67105263,76,1,0
Alexandr Dolgopolov,15-15,.6226415,53,1,1
Alexandr Dolgopolov,15-30,.67741936,31,1,2
Alexandr Dolgopolov,15-40,.5714286,14,1,3
Alexandr Dolgopolov,30-0,.68627453,51,2,0
Alexandr Dolgopolov,30-15,.65306121,49,2,1
Alexandr Dolgopolov,30-30,.7631579,38,2,2
Alexandr Dolgopolov,30-40,.7647059,17,2,3
Alexandr Dolgopolov,40-0,.62857145,35,3,0
Alexandr Dolgopolov,40-15,.66666669,45,3,1
Alexandr Dolgopolov,40-30,.63636363,44,3,2
Alexandr Dolgopolov,40-40,.51785713,56,3,3
Alexandr Dolgopolov,40-50,.7037037,27,3,4
Alexandr Dolgopolov,50-40,.7241379,29,4,3
Aljaz Bedene,0-0,.6964286,56,0,0
Aljaz Bedene,0-15,.47058824,17,0,1
Aljaz Bedene,0-30,.66666669,9,0,2
Aljaz Bedene,0-40,.33333334,3,0,3
Aljaz Bedene,100-100,1,3,7,7
Aljaz Bedene,100-101,1,1,7,7
Aljaz Bedene,101-100,1,1,7,7
Aljaz Bedene,101-101,1,1,7,7
Aljaz Bedene,101-102,0,1,7,7
Aljaz Bedene,101-103,1,1,7,7
Aljaz Bedene,102-100,1,1,7,7
Aljaz Bedene,102-101,.5,2,7,7
Aljaz Bedene,102-102,0,1,7,7
Aljaz Bedene,103-101,0,1,7,7
Aljaz Bedene,103-102,0,1,7,7
Aljaz Bedene,103-103,1,1,7,7
Aljaz Bedene,103-104,.5,2,7,7
Aljaz Bedene,103-105,1,1,7,7
Aljaz Bedene,104-101,1,1,7,7
Aljaz Bedene,104-103,0,1,7,7
Aljaz Bedene,104-104,.5,2,7,7
Aljaz Bedene,105-101,1,1,7,7
Aljaz Bedene,105-104,1,1,7,7
Aljaz Bedene,105-106,0,2,7,8
Aljaz Bedene,106-103,1,1,8,7
Aljaz Bedene,106-104,0,1,8,7
Aljaz Bedene,106-105,0,1,8,7
Aljaz Bedene,106-106,1,1,8,8
Aljaz Bedene,106-107,0,1,8,8
Aljaz Bedene,15-0,.71794873,39,1,0
Aljaz Bedene,15-15,.78947371,19,1,1
Aljaz Bedene,15-30,.5,10,1,2
Aljaz Bedene,15-40,.5,6,1,3
Aljaz Bedene,30-0,.5714286,28,2,0
Aljaz Bedene,30-15,.7037037,27,2,1
Aljaz Bedene,30-30,.61538464,13,2,2
Aljaz Bedene,30-40,.75,8,2,3
Aljaz Bedene,40-0,.625,16,3,0
Aljaz Bedene,40-15,.75999999,25,3,1
Aljaz Bedene,40-30,.71428573,14,3,2
Aljaz Bedene,40-40,.61904764,21,3,3
Aljaz Bedene,40-50,.375,8,3,4
Aljaz Bedene,50-40,.38461539,13,4,3
Andrea Arnaboldi,0-0,.39285713,28,0,0
Andrea Arnaboldi,0-15,.64705884,17,0,1
Andrea Arnaboldi,0-30,.5,6,0,2
Andrea Arnaboldi,0-40,.66666669,3,0,3
Andrea Arnaboldi,100-100,0,1,7,7
Andrea Arnaboldi,101-102,1,1,7,7
Andrea Arnaboldi,102-102,0,1,7,7
Andrea Arnaboldi,103-104,0,1,7,7
Andrea Arnaboldi,103-105,0,1,7,7
Andrea Arnaboldi,15-0,.63636363,11,1,0
Andrea Arnaboldi,15-15,.53333336,15,1,1
Andrea Arnaboldi,15-30,.80000001,10,1,2
Andrea Arnaboldi,15-40,.75,4,1,3
Andrea Arnaboldi,30-0,.5714286,7,2,0
Andrea Arnaboldi,30-15,.72727275,11,2,1
Andrea Arnaboldi,30-30,.63636363,11,2,2
Andrea Arnaboldi,30-40,.5714286,7,2,3
Andrea Arnaboldi,40-0,.75,4,3,0
Andrea Arnaboldi,40-15,.55555558,9,3,1
Andrea Arnaboldi,40-30,.63636363,11,3,2
Andrea Arnaboldi,40-40,.42105263,19,3,3
Andrea Arnaboldi,40-50,.63636363,11,3,4
Andrea Arnaboldi,50-40,.5,8,4,3
Andreas Haider-Maurer,0-0,.64705884,136,0,0
Andreas Haider-Maurer,0-15,.60416669,48,0,1
Andreas Haider-Maurer,0-30,.47368422,19,0,2
Andreas Haider-Maurer,0-40,.40000001,10,0,3
Andreas Haider-Maurer,100-100,.66666669,6,7,7
Andreas Haider-Maurer,100-101,1,2,7,7
Andreas Haider-Maurer,100-103,0,1,7,7
Andreas Haider-Maurer,100-104,1,1,7,7
Andreas Haider-Maurer,101-101,.5,2,7,7
Andreas Haider-Maurer,101-102,1,1,7,7
Andreas Haider-Maurer,102-101,.33333334,3,7,7
Andreas Haider-Maurer,102-102,.33333334,3,7,7
Andreas Haider-Maurer,102-103,1,1,7,7
Andreas Haider-Maurer,102-105,.5,2,7,7
Andreas Haider-Maurer,102-106,0,1,7,8
Andreas Haider-Maurer,103-100,0,1,7,7
Andreas Haider-Maurer,103-101,.5,2,7,7
Andreas Haider-Maurer,103-102,1,1,7,7
Andreas Haider-Maurer,103-103,1,1,7,7
Andreas Haider-Maurer,103-104,1,3,7,7
Andreas Haider-Maurer,103-105,1,1,7,7
Andreas Haider-Maurer,104-102,0,1,7,7
Andreas Haider-Maurer,104-103,0,1,7,7
Andreas Haider-Maurer,104-104,.75,4,7,7
Andreas Haider-Maurer,104-105,0,2,7,7
Andreas Haider-Maurer,104-106,.5,2,7,8
Andreas Haider-Maurer,105-106,1,1,7,8
Andreas Haider-Maurer,106-105,.5,2,8,7
Andreas Haider-Maurer,106-106,.5,2,8,8
Andreas Haider-Maurer,15-0,.65909094,88,1,0
Andreas Haider-Maurer,15-15,.71186441,59,1,1
Andreas Haider-Maurer,15-30,.5,26,1,2
Andreas Haider-Maurer,15-40,.47058824,17,1,3
Andreas Haider-Maurer,30-0,.60344827,58,2,0
Andreas Haider-Maurer,30-15,.69230771,65,2,1
Andreas Haider-Maurer,30-30,.4848485,33,2,2
Andreas Haider-Maurer,30-40,.56,25,2,3
Andreas Haider-Maurer,40-0,.62857145,35,3,0
Andreas Haider-Maurer,40-15,.63793105,58,3,1
Andreas Haider-Maurer,40-30,.62162161,37,3,2
Andreas Haider-Maurer,40-40,.72549021,51,3,3
Andreas Haider-Maurer,40-50,.5714286,14,3,4
Andreas Haider-Maurer,50-40,.5945946,37,4,3
Andreas Seppi,0-0,.63953489,172,0,0
Andreas Seppi,0-15,.58064514,62,0,1
Andreas Seppi,0-30,.61538464,26,0,2
Andreas Seppi,0-40,.60000002,10,0,3
Andreas Seppi,100-100,0,1,7,7
Andreas Seppi,100-101,1,2,7,7
Andreas Seppi,100-103,0,1,7,7
Andreas Seppi,100-104,1,1,7,7
Andreas Seppi,101-100,0,1,7,7
Andreas Seppi,101-101,.66666669,3,7,7
Andreas Seppi,101-104,1,1,7,7
Andreas Seppi,101-106,0,1,7,8
Andreas Seppi,102-104,1,1,7,7
Andreas Seppi,103-102,0,1,7,7
Andreas Seppi,103-103,1,1,7,7
Andreas Seppi,104-101,1,1,7,7
Andreas Seppi,104-105,1,1,7,7
Andreas Seppi,105-101,1,1,7,7
